20,20
20,19
19,20
19,19
18,20
18,19
17,20
17,19
16,20
16,19
15,20
15,19
14,20
14,19
13,20
13,19
12,20
12,19
11,20
11,19
10,20
10,19
9,20
9,19
8,20
8,19
8,18
8,17
9,18
9,17
10,18
10,17
11,18
11,17
12,18
12,17
13,18
13,17
14,18
14,17
15,18
15,17
16,18
16,17
17,18
17,17
18,18
18,17
19,18
19,17
20,18
20,17
20,16
20,15
19,16
19,15
18,16
18,15
17,16
17,15
16,16
16,15
15,16
15,15
14,16
14,15
13,16
13,15
12,16
12,15
11,16
11,15
10,16
10,15
9,16
9,15
8,16
8,15
8,14
8,13
9,14
9,13
10,14
10,13
11,14
11,13
12,14
12,13
13,14
13,13
14,14
14,13
15,14
15,13
16,14
16,13
17,14
17,13
18,14
18,13
19,14
19,13
20,14
20,13
20,12
20,11
19,12
19,11
18,12
18,11
17,12
17,11
16,12
16,11
15,12
15,11
14,12
14,11
13,12
13,11
12,12
12,11
11,12
11,11
10,12
10,11
9,12
9,11
8,12
8,11
7,12
7,11
5,12
5,11
4,12
4,11
3,12
3,11
2,12
2,11
1,12
1,11
0,12
0,11
0,10
0,9
1,10
1,9
2,10
2,9
3,10
3,9
4,10
4,9
5,10
5,9
7,10
7,9
8,10
8,9
9,10
9,9
10,10
10,9
11,10
11,9
12,10
12,9
13,10
13,9
14,10
14,9
15,10
15,9
16,10
16,9
17,10
17,9
18,10
18,9
19,10
19,9
20,10
20,9
12,8
12,7
11,8
11,7
10,8
10,7
9,8
9,7
8,8
8,7
8,5
8,4
9,5
9,4
10,5
10,4
11,5
11,4
12,5
12,4
12,3
12,2
11,3
11,2
10,3
10,2
9,3
9,2
8,3
8,2
8,1
8,0
9,1
9,0
10,1
10,0
11,1
11,0
12,1
12,0
