24,24
24,23
23,24
23,23
22,24
22,23
21,24
21,23
20,24
20,23
19,24
19,23
18,24
18,23
17,24
17,23
16,24
16,23
15,24
15,23
14,24
14,23
13,24
13,23
12,24
12,23
11,24
11,23
10,24
10,23
9,24
9,23
8,24
8,23
8,22
8,21
9,22
9,21
10,22
10,21
11,22
11,21
12,22
12,21
13,22
13,21
14,22
14,21
15,22
15,21
16,22
16,21
17,22
17,21
18,22
18,21
19,22
19,21
20,22
20,21
21,22
21,21
22,22
22,21
23,22
23,21
24,22
24,21
24,20
24,19
23,20
23,19
22,20
22,19
21,20
21,19
15,20
15,19
14,20
14,19
13,20
13,19
12,20
12,19
11,20
11,19
10,20
10,19
9,20
9,19
8,20
8,19
8,18
8,17
9,18
9,17
10,18
10,17
11,18
11,17
12,18
12,17
13,18
13,17
14,18
14,17
15,18
15,17
21,18
21,17
22,18
22,17
23,18
23,17
24,18
24,17
24,16
24,15
23,16
23,15
22,16
22,15
21,16
21,15
15,16
15,15
14,16
14,15
13,16
13,15
12,16
12,15
11,16
11,15
10,16
10,15
9,16
9,15
8,16
8,15
7,16
7,15
5,16
5,15
4,16
4,15
3,16
3,15
2,16
2,15
1,16
1,15
0,16
0,15
0,14
0,13
1,14
1,13
2,14
2,13
3,14
3,13
4,14
4,13
5,14
5,13
7,14
7,13
8,14
8,13
9,14
9,13
10,14
10,13
11,14
11,13
12,14
12,13
13,14
13,13
14,14
14,13
15,14
15,13
16,14
16,13
17,14
17,13
18,14
18,13
19,14
19,13
20,14
20,13
21,14
21,13
22,14
22,13
23,14
23,13
24,14
24,13
24,12
24,11
23,12
23,11
22,12
22,11
21,12
21,11
20,12
20,11
19,12
19,11
18,12
18,11
17,12
17,11
16,12
16,11
15,12
15,11
14,12
14,11
13,12
13,11
12,12
12,11
11,12
11,11
10,12
10,11
9,12
9,11
8,12
8,11
7,12
7,11
5,12
5,11
4,12
4,11
3,12
3,11
2,12
2,11
1,12
1,11
0,12
0,11
0,10
0,9
1,10
1,9
2,10
2,9
3,10
3,9
4,10
4,9
5,10
5,9
7,10
7,9
8,10
8,9
9,10
9,9
10,10
10,9
11,10
11,9
12,10
12,9
13,10
13,9
14,10
14,9
15,10
15,9
16,10
16,9
17,10
17,9
18,10
18,9
19,10
19,9
20,10
20,9
21,10
21,9
22,10
22,9
23,10
23,9
24,10
24,9
16,8
16,7
15,8
15,7
14,8
14,7
13,8
13,7
12,8
12,7
11,8
11,7
10,8
10,7
9,8
9,7
8,8
8,7
8,5
8,4
9,5
9,4
10,5
10,4
11,5
11,4
12,5
12,4
13,5
13,4
14,5
14,4
15,5
15,4
16,5
16,4
16,3
16,2
15,3
15,2
14,3
14,2
13,3
13,2
12,3
12,2
11,3
11,2
10,3
10,2
9,3
9,2
8,3
8,2
8,1
8,0
9,1
9,0
10,1
10,0
11,1
11,0
12,1
12,0
13,1
13,0
14,1
14,0
15,1
15,0
16,1
16,0
